,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
157,28.24,,,Lead oxides; red lead and orange lead.,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,
159,,2824.10,-,"Lead monoxide (litharge, massicot)",kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
160,,2824.90,-,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
161,,,,,,,,,,,,,,,,,,,,,,,,,
162,28.25,,,"Hydrazine and hydroxylamine and their
inorganic salts; other inorganic bases;
other metal oxides, hydroxides and
peroxides.",,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,
164,,2825.10,-,"Hydrazine and hydroxylamine and their
inorganic salts",kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
165,,2825.20,-,Lithium oxide and hydroxide,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
166,,2825.30,-,Vanadium oxides and hydroxides,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
167,,2825.40,-,Nickel oxides and hydroxides,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
168,,2825.50,-,Copper oxides and hydroxides,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
169,,2825.60,-,Germanium oxides and zirconium dioxide,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
170,,2825.70,-,Molybdenum oxides and hydroxides,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
171,,2825.80,-,Antimony oxides,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
172,,2825.90,-,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
173,,,,,,,,,,,,,,,,,,,,,,,,,
174,HS Hdg,HS Code,,Description,Unit,"ICL/
SLSI",Preferential Duty,,,,,,,,,,"Gen
Duty",VAT,PAL,,Cess,,"Excise
(S.P.D)",SSCL,"S
C
L"
175,,,,,,,AP,AD,BN,GT,IN,PK,SA,SF,SD,SG,,,Gen,SG,GEN,SG,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,"V.- SALTS AND PEROXYSALTS, OF
INORGANIC ACIDS AND METALS",,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,
179,28.26,,,"Fluorides; fluorosilicates,
fluoroaluminates and other complex
fluorine salts.",,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,-,Fluorides :,,,,,,,,,,,,,,,,,,,,,
182,,2826.12,--,Of aluminium,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
183,,2826.19,--,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
184,,2826.30,-,"Sodium hexafluoroaluminate (synthetic
cryolite)",kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
185,,2826.90,-,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
186,,,,,,,,,,,,,,,,,,,,,,,,,
187,28.27,,,"Chlorides, chloride oxides and chloride
hydroxides; bromides and bromide
oxides; iodides and iodide oxides.",,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,
189,,2827.10,-,Ammonium chloride,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
190,,2827.20,-,Calcium chloride,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
191,,,-,Other chlorides :,,,,,,,,,,,,,,,,,,,,,
192,,2827.31,--,Of magnesium,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
193,,2827.32,--,Of aluminium,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
194,,2827.35,--,Of nickel,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
195,,2827.39,--,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
196,,,-,Chloride oxides and chloride hydroxides :,,,,,,,,,,,,,,,,,,,,,
197,,2827.41,--,Of copper,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
198,,2827.49,--,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
199,,,-,Bromides and bromide oxides :,,,,,,,,,,,,,,,,,,,,,
200,,2827.51,--,Bromides of sodium or of potassium,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
201,,2827.59,--,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
202,,2827.60,-,Iodides and iodide oxides,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
203,,,,,,,,,,,,,,,,,,,,,,,,,
204,28.28,,,"Hypochlorites; commercial calcium
hypochlorite; chlorites; hypobromites.",,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,
206,,2828.10,-,"Commercial calcium hypochlorite and other
calcium hypochlorites",kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,10%,Free,,2.5%,
207,,2828.90,-,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
208,,,,,,,,,,,,,,,,,,,,,,,,,
209,HS Hdg,HS Code,,Description,Unit,"ICL/
SLSI",Preferential Duty,,,,,,,,,,"Gen
Duty",VAT,PAL,,Cess,,"Excise
(S.P.D)",SSCL,"S
C
L"
210,,,,,,,AP,AD,BN,GT,IN,PK,SA,SF,SD,SG,,,Gen,SG,GEN,SG,,,
211,,,,,,,,,,,,,,,,,,,,,,,,,
212,28.29,,,"Chlorates and perchlorates; bromates
and perbromates; iodates and
periodates.",,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,-,Chlorates :,,,,,,,,,,,,,,,,,,,,,
215,,2829.11,--,Of sodium,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
216,,2829.19,--,Other,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
217,,2829.90,-,Other,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
218,,,,,,,,,,,,,,,,,,,,,,,,,
219,28.30,,,"Sulphides; polysulphides, whether or not
chemically defined.",,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,
221,,2830.10,-,Sodium sulphides,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
222,,2830.90,-,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
223,,,,,,,,,,,,,,,,,,,,,,,,,
224,28.31,,,Dithionites and sulphyoxylates.,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,
226,,2831.10,-,Of sodium,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
227,,2831.90,-,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
228,,,,,,,,,,,,,,,,,,,,,,,,,
229,28.32,,,Sulphites; thiosulphates.,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,
231,,2832.10,-,Sodium sulphites,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
232,,2832.20,-,Other sulphites,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
233,,2832.30,-,Thiosulphates,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
234,,,,,,,,,,,,,,,,,,,,,,,,,
235,28.33,,,"Sulphates; alums; peroxosulphates
(persulphates).",,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,-,Sodium sulphates :,,,,,,,,,,,,,,,,,,,,,
238,,2833.11,--,Disodium sulphate,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
239,,2833.19,--,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
240,,,-,Other sulphates :,,,,,,,,,,,,,,,,,,,,,
241,,2833.21,--,Of magnesium,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
242,,2833.22,--,Of aluminium,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
243,,2833.24,--,Of nickel,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
244,,2833.25,--,Of copper,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
245,,2833.27,--,Of barium,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
246,,2833.29,--,Other :,,,,,,,,,,,,,,,,,,,,,
247,,2833.29.10,---,Thallium sulphate,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
248,,2833.29.90,---,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
249,,2833.30,-,Alums,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
250,,2833.40,-,Peroxosulphates (perulphates),kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
251,,,,,,,,,,,,,,,,,,,,,,,,,
252,HS Hdg,HS Code,,Description,Unit,"ICL/
SLSI",Preferential Duty,,,,,,,,,,"Gen
Duty",VAT,PAL,,Cess,,"Excise
(S.P.D)",SSCL,"S
C
L"
253,,,,,,,AP,AD,BN,GT,IN,PK,SA,SF,SD,SG,,,Gen,SG,GEN,SG,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,
255,28.34,,,Nitrites; nitrates.,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,
257,,2834.10,-,Nitrites,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
258,,,-,Nitrates :,,,,,,,,,,,,,,,,,,,,,
259,,2834.21,--,Of potassium,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
260,,,--,Other :,,,,,,,,,,,,,,,,,,,,,
